,AREA,Investigating improvements not a priority (2023),Risk of reduced yield or poorer crop quality (2023),Physical field or crop conditions limit system improvements (2023),Cannot finance improvements (2023),Landlord will not share in cost (2023),Uncertainty about future availability of water (2023),Will not be farming this operation long enough to justify improvements (2023),Investigating improvements not a priority (2018),Risk of reduced yield or poorer crop quality (2018),Physical field or crop conditions limit system improvements (2018),Cannot finance improvements (2018),Landlord will not share in cost (2018),Uncertainty about future availability of water (2018),Will not be farming this operation long enough to justify improvements (2018),Investigating improvements not a priority (2013),Risk of reduced yield or poorer crop quality (2013),Physical field or crop conditions limit system improvements (2013),Cannot finance improvements (2013),Landlord will not share in cost (2013),Uncertainty about future availability of water (2013),Will not be farming this operation long enough to justify improvements (2013),Risk of reduced yield or poorer crop quality (2003),Physical field or crop conditions limit system improvements (2003),Cannot finance improvements (2003),Landlord will not share in cost (2003),Uncertainty about future availability of water (2003),Will not be farming this operation long enough to justify improvements (2003)
16,Kansas,142644,459843.0,171052,348123,382489.0,605811.0,67197.0,236000,342471,161019.0,449825,509294.0,365865.0,73315,312010,401583.0,255846,215147,385318,699355,132824,227624.0,131770.0,186413,273511.0,307584,87918.0
17,Kentucky,18101,6154.0,14019,4871,19100.0,92.0,1246.0,9404,5746,8751.0,4929,234.0,136.0,1027,8064,456.0,3630,958,3488,3041,9312,5186.0,2773.0,1714,1415.0,561,1366.0
18,Louisiana,230308,147237.0,158249,148320,344857.0,26652.0,22152.0,115149,118483,129372.0,168573,163759.0,26226.0,88545,250288,80627.0,100867,98686,116574,30112,20840,95677.0,87728.0,95374,101685.0,25786,20966.0
19,Maine,2753,1298.0,1504,5168,,,198.0,2008,1774,1568.0,8619,5614.0,,169,1529,210.0,369,905,178,839,95,322.0,,472,0.0,427,0.0
20,Maryland,18200,9660.0,3739,12944,7760.0,2864.0,9640.0,36460,7444,19614.0,18109,5370.0,660.0,2324,16736,12885.0,12493,11850,7167,8917,4443,4873.0,4403.0,5389,4068.0,138,7181.0
21,Massachusetts,3276,1370.0,722,3271,831.0,330.0,1030.0,2686,12,,3557,,790.0,82,5547,1289.0,6051,5563,454,494,865,480.0,292.0,1531,147.0,190,331.0
22,Michigan,68600,114642.0,80293,75509,92236.0,19316.0,137523.0,89522,87584,58430.0,99279,87325.0,36861.0,32136,60225,76505.0,66344,42347,53810,42594,32982,30599.0,26081.0,37433,12249.0,10395,14644.0
23,Minnesota,57127,70072.0,41454,75928,67081.0,27656.0,29611.0,53242,57787,26863.0,66826,57526.0,42704.0,60732,65366,44650.0,47426,62962,36797,24017,39377,25649.0,1760.0,35408,14676.0,2764,17340.0
24,Mississippi,165220,116983.0,60742,213638,290159.0,58666.0,121847.0,304378,145758,153532.0,280701,367047.0,74446.0,130289,522337,185066.0,224925,286913,331689,146613,149920,52239.0,49902.0,121970,105020.0,30707,59179.0
25,Missouri,379217,95816.0,40795,205526,106169.0,7539.0,49547.0,148102,151576,133301.0,231397,192309.0,891.0,125260,187261,107157.0,152121,154215,174709,25239,65574,122257.0,54120.0,114335,108265.0,24524,40555.0
26,Montana,215779,85416.0,206185,384300,153645.0,209477.0,61185.0,258479,175482,289889.0,372969,168689.0,297114.0,117385,369850,146265.0,276505,329356,189560,304706,87209,93049.0,109202.0,234443,90328.0,169008,96719.0
27,Nebraska,433485,1113197.0,489479,1047865,1421646.0,511909.0,249548.0,869243,634274,542629.0,1300347,1096828.0,248710.0,355988,966457,667703.0,994547,987351,1225679,1112946,559649,673229.0,647936.0,700554,746112.0,410996,387143.0
28,Nevada,136395,22520.0,40956,159194,39929.0,33169.0,28400.0,67776,59683,88682.0,94029,10640.0,137371.0,10800,73145,93562.0,108556,138897,57731,158547,40327,47517.0,76361.0,96326,16260.0,70878,13519.0
29,New Hampshire,165,319.0,149,152,8.0,,26.0,306,252,617.0,131,,,59,2528,1864.0,1863,308,212,70,95,288.0,,236,12.0,180,33.0
30,New Jersey,5635,5248.0,5364,14838,4934.0,1204.0,4951.0,5599,6493,4911.0,26404,8106.0,1625.0,3614,10864,6002.0,7878,19109,6514,2768,2415,3980.0,3779.0,6950,972.0,2485,12652.0
31,New Mexico,29198,14686.0,35282,71260,18452.0,128227.0,14257.0,68300,102208,105838.0,111182,30247.0,154704.0,12641,190478,91450.0,60388,104405,59415,159217,55310,60567.0,44072.0,112713,21343.0,104174,28875.0
32,New York,13647,4304.0,1139,2981,187.0,7048.0,3767.0,5199,5934,7143.0,8536,4281.0,1284.0,3939,7308,1890.0,5444,3619,936,2596,1114,2918.0,,2034,0.0,374,970.0
33,North Carolina,19744,11141.0,5449,28171,7209.0,4616.0,4984.0,14001,43593,43884.0,5252,917.0,175.0,2024,14940,7511.0,16580,22841,16565,12720,2533,8962.0,6390.0,12068,3020.0,7439,4272.0
34,North Dakota,20507,18738.0,15297,43767,44211.0,11308.0,3581.0,31843,58868,22368.0,55399,81783.0,39840.0,2884,44528,15953.0,26989,23776,30700,16429,14385,7836.0,11359.0,34768,17667.0,9038,12823.0
35,Ohio,6342,6937.0,4962,2563,,1296.0,3338.0,8679,332,384.0,5629,528.0,121.0,970,9860,2762.0,5168,4306,5138,2368,1018,1633.0,1724.0,2035,2020.0,1669,1627.0
36,Oklahoma,93667,53095.0,18799,44698,92931.0,23238.0,97891.0,37319,44531,30449.0,82403,62237.0,959.0,32147,36281,43821.0,37434,50980,52935,49330,11596,24095.0,7684.0,68290,16981.0,36964,8824.0
37,Oregon,115008,118516.0,120632,299299,132043.0,282954.0,60537.0,157924,144824,174415.0,297045,131685.0,207550.0,63016,257338,113782.0,208042,297210,180923,247718,79041,82220.0,120228.0,302999,125098.0,136992,45517.0
38,Pennsylvania,7045,894.0,2726,4954,72.0,,994.0,22728,1092,891.0,2013,,248.0,1148,6238,3145.0,2908,4608,1991,1011,1418,961.0,692.0,1172,0.0,610,1458.0
39,Rhode Island,108,,92,499,376.0,47.0,111.0,266,800,855.0,279,36.0,4.0,852,1692,726.0,36,254,44,0,85,0.0,0.0,14,0.0,0,5.0
40,South Carolina,35960,17545.0,14301,9732,10778.0,2424.0,14957.0,19407,12898,14983.0,45178,47422.0,,45843,13233,,6755,17748,10394,6673,8096,6133.0,4252.0,5342,,2270,6480.0
41,South Dakota,51838,33353.0,71779,20161,46242.0,4174.0,43141.0,33183,34735,31982.0,30775,21802.0,0.0,13247,51883,23685.0,23662,28166,16267,21567,17450,13419.0,32392.0,65585,6619.0,13270,15095.0
42,Tennessee,16004,18351.0,12140,32210,20105.0,17.0,10665.0,17902,11440,2596.0,12745,,,4997,24355,20515.0,22614,18543,35299,11962,21856,6713.0,2951.0,3494,3218.0,743,558.0
43,Texas,315714,501057.0,312632,770358,401207.0,1246421.0,229636.0,440900,404366,266393.0,539250,564761.0,657838.0,187584,590190,651266.0,548310,714552,601058,1386799,295107,209434.0,132402.0,625830,423777.0,524780,387366.0
44,Utah,77724,105014.0,142691,354284,27335.0,106673.0,33772.0,190606,158779,160925.0,249852,107244.0,306745.0,82313,137417,68094.0,150710,272415,105029,151101,68000,68245.0,75970.0,197579,43287.0,89954,66917.0
45,Vermont,388,,247,253,,14.0,55.0,436,120,74.0,614,62.0,82.0,151,414,34.0,103,257,151,47,231,,0.0,127,0.0,0,0.0
46,Virginia,6502,6084.0,4344,4472,1435.0,1839.0,2930.0,9731,1188,2565.0,9620,3490.0,3606.0,2714,4923,1127.0,9151,5039,6274,2147,3039,4360.0,5703.0,8620,2362.0,1614,2837.0
47,Washington,110845,171067.0,147439,230099,221099.0,96794.0,85769.0,179274,238878,252992.0,301123,144581.0,115262.0,136879,240333,173534.0,193776,267275,205593,136085,123077,72797.0,84239.0,221858,79637.0,50438,110204.0
48,West Virginia,364,261.0,38,420,153.0,22.0,0.0,115,95,8.0,62,15.0,,130,526,127.0,117,232,112,112,169,,,114,0.0,155,
49,Wisconsin,56800,40066.0,29630,94475,64808.0,1016.0,8146.0,53318,70188,53093.0,94055,87721.0,8001.0,27289,50143,77165.0,48084,65545,54828,39024,13540,24105.0,8766.0,34305,11401.0,1956,10002.0
50,Wyoming,126655,106736.0,149148,279957,102442.0,152442.0,35088.0,206760,214946,186689.0,336089,134198.0,154377.0,34941,313096,115699.0,199487,201986,98406,239035,83228,93501.0,131347.0,289386,25796.0,180440,69364.0
51,Region 01 New England,7109,3255.0,2590,9983,1489.0,1480.0,1598.0,5822,2932,3326.0,13074,6114.0,1964.0,1327,11947,4881.0,9169,8447,1167,2096,2049,1315.0,856.0,2411,359.0,945,634.0
52,Region 02 Mid Atlantic,61177,33813.0,28143,46871,26399.0,19675.0,32244.0,96822,45987,47339.0,89357,39549.0,19917.0,28614,53220,37046.0,45898,47453,32065,19307,17417,28082.0,14696.0,27504,9268.0,11552,31856.0
53,Region 03 South Atlantic Gulf,293922,245161.0,153602,236657,195886.0,132722.0,110811.0,253274,176077,126558.0,220174,186737.0,133013.0,90115,384682,172024.0,238383,336230,235490,172460,180208,104079.0,82955.0,236209,57830.0,53094,69031.0
54,Region 04 Great Lakes,96290,142763.0,85972,88445,124867.0,19772.0,145037.0,121210,110672,72060.0,144945,97162.0,37391.0,48047,84424,95483.0,87316,75825,82193,47377,39762,45143.0,31313.0,55027,19821.0,13806,22205.0
55,Region 05 Ohio,49631,58051.0,26563,21392,61763.0,6736.0,31510.0,46696,84550,47580.0,66605,50452.0,429.0,8604,66997,27884.0,46346,20868,45604,14284,25762,40002.0,20676.0,22869,30279.0,5486,12036.0
56,Region 06 Tennessee,8995,11793.0,11847,4584,,6040.0,,6281,12235,2692.0,9206,,6367.0,316,4925,2968.0,7597,3855,4735,3863,1844,,2863.0,5587,,421,
57,Region 07 Upper Mississippi,265609,217700.0,142125,209582,181318.0,25867.0,60986.0,200924,184526,111146.0,200079,225390.0,23168.0,60640,200943,162639.0,136341,148480,152115,73957,90089,88215.0,47601.0,87692,55648.0,15565,51312.0
58,Region 08 Lower Mississippi,1160318,765355.0,586600,1245899,1645143.0,222109.0,389953.0,1022772,738278,990622.0,1195170,1736086.0,223764.0,473979,1471623,662526.0,986581,1132902,1674274,625825,543655,564449.0,362514.0,1001060,1019553.0,237277,332242.0
59,Region 09 Souris Red Rainy,17577,9927.0,4443,18968,22540.0,9280.0,9362.0,13417,46746,23458.0,48703,62790.0,34340.0,33731,24512,,20314,16194,18292,8146,9540,4732.0,3786.0,17303,5966.0,3220,4461.0
60,Region 10 Missouri,922133,1632812.0,1013079,1857732,1971466.0,1228271.0,465026.0,1483314,1251187,1151454.0,2175814,1694761.0,855079.0,549224,1885132,1086610.0,1614992,1660210,1753432,1966077,820923,989152.0,1007623.0,1307704,994227.0,867500,677688.0
61,Region 11 Arkansas White Red,408535,461011.0,413480,805899,689109.0,981525.0,232962.0,494075,550797,419583.0,783488,807013.0,714900.0,290492,635932,721181.0,485745,655204,682045,1109687,309092,386855.0,223861.0,561407,480823.0,544050,190475.0
62,Region 12 Texas Gulf,237954,418681.0,217114,475697,248960.0,888422.0,211057.0,286739,286647,192620.0,417674,375138.0,466728.0,128614,478550,473722.0,468906,505967,471304,1060631,201966,107688.0,89502.0,384796,268491.0,369670,298880.0
63,Region 13 Rio Grande,38476,46246.0,88689,198111,87121.0,248263.0,27961.0,55851,94617,35057.0,89877,26352.0,113555.0,11203,156223,106263.0,94742,133255,56263,216043,68796,45870.0,34005.0,200677,49314.0,154866,49741.0
64,Region 14 Upper Colorado,135786,112124.0,125518,290194,31722.0,212781.0,39701.0,191998,164638,143229.0,218688,94850.0,323295.0,32788,187789,98354.0,159911,246294,92297,246364,90356,76946.0,105049.0,318493,54147.0,111251,52896.0
65,Region 15 Lower Colorado,60187,162992.0,164186,196637,230344.0,123856.0,104300.0,111515,136256,123034.0,210888,207399.0,145701.0,116385,99019,86958.0,109201,127832,195427,135580,102761,45669.0,55610.0,108875,110289.0,41606,36544.0
66,Region 16 Great Basin,187801,96238.0,178717,481840,79922.0,108472.0,59010.0,214403,204556,256314.0,330242,137311.0,424599.0,107336,184228,138416.0,253345,371904,153573,288902,110536,122758.0,142379.0,279780,62147.0,134588,79006.0
67,Region 17 Pacific Northwest,543281,818734.0,629628,1046900,852933.0,723104.0,352530.0,702406,741799,844925.0,1393325,777253.0,631808.0,552952,971437,569232.0,950982,1094829,874406,876595,437330,384895.0,541801.0,1018000,370057.0,421690,274384.0
68,Region 18 California,529037,1129568.0,791987,1396113,699486.0,1753456.0,423604.0,625865,865435,762915.0,1222139,675977.0,1178039.0,332425,747754,716030.0,720544,1027293,788320,1619529,399767,521486.0,486468.0,782571,436592.0,716104,266355.0
69,Region 19 Alaska,222,122.0,19,162,,11.0,,206,21,21.0,574,,30.0,243,147,40.0,96,137,20,12,32,,0.0,995,0.0,0,
70,Region 20 Hawaii,2363,1131.0,2000,5160,4455.0,832.0,148.0,2490,638,1075.0,4773,3584.0,5034.0,2669,3873,,6677,11870,2656,46312,1173,838.0,725.0,9085,,626,855.0
