GEOGRAPHIC AREA,Farms - Investigating improvements not a priority,Farmland in acres - Investigating improvements not a priority,Acres equipped - Investigating improvements not a priority,Acres irrigated - Investigating improvements not a priority,Acre-feet applied - Investigating improvements not a priority,Farms - Risk of reduced yield or poorer crop quality,Farmland in acres - Risk of reduced yield or poorer crop quality,Acres equipped - Risk of reduced yield or poorer crop quality,Acres irrigated - Risk of reduced yield or poorer crop quality,Acre-feet applied - Risk of reduced yield or poorer crop quality,Farms - Physical field or crop conditions limit system improvements,Farmland in acres - Physical field or crop conditions limit system improvements,Acres equipped - Physical field or crop conditions limit system improvements,Acres irrigated - Physical field or crop conditions limit system improvements,Acre-feet applied - Physical field or crop conditions limit system improvements,Farms - Improvements will not reduce costs enough to cover implementation costs,Farmland in acres - Improvements will not reduce costs enough to cover implementation costs,Acres equipped -  Improvements will not reduce costs enough to cover implementation costs,Acres irrigated -  Improvements will not reduce costs enough to cover implementation costs,Acre-feet applied -  Improvements will not reduce costs enough to cover implementation costs,Farms - Cannot finance improvements,Farmland in acres - Cannot finance improvements,Acres equipped - Cannot finance improvements,Acres irrigated - Cannot finance improvements,Acre-feet applied - Cannot finance improvements,Farms - Landlord will not share in cost,Farmland in acres - Landlord will not share in cost,Acres equipped - Landlord will not share in cost,Acres irrigated - Landlord will not share in cost,Acre-feet applied - Landlord will not share in cost,Farms - Uncertainty about future availability of water,Farmland in acres - Uncertainty about future availability of water,Acres equipped - Uncertainty about future availability of water,Acres irrigated - Uncertainty about future availability of water,Acre-feet applied - Uncertainty about future availability of water,Farms - Will not be farming this operation long enough to justify improvements,Farmland in acres - Will not be farming this operation long enough to justify improvements,Acres equipped - Will not be farming this operation long enough to justify improvements,Acres irrigated - Will not be farming this operation long enough to justify improvements,Acre-feet applied - Will not be farming this operation long enough to justify improvements,Farms - Improvements will increase management time or cost,Farmland in acres - Improvements will increase management time or cost,Acres equipped - Improvements will increase management time or cost,Acres irrigated - Improvements will increase management time or cost,Acre-feet applied - Improvements will increase management time or cost
Iowa ,307,"258,300","36,513","33,279","19,336",46,"91,196","32,785","32,685","16,520",58,"81,016","28,026","27,666","15,976",123,"116,913","43,979","43,979","26,034",61,915,380,280,135,16,"52,815","23,750","23,750","11,143",37,"34,755","6,483","6,483","4,869",128,"85,654","21,653","20,320","10,558",22,176,22,22,2
Kansas ,641,"1,240,495","146,126","142,644","153,272",607,"2,009,272","485,367","459,843","526,400",263,"971,495","175,100","171,052","193,475",658,"2,012,869","509,935","484,942","546,615",581,"1,741,475","362,265","348,123","346,839",421,"1,628,566","398,283","382,489","394,296",762,"2,753,543","669,300","605,811","649,419",251,"500,329","72,335","67,197","69,783",285,"447,233","118,905","105,971","102,856"
Kentucky ,436,"155,125","21,668","18,101","10,515",45,"58,785","6,173","6,154","3,269",47,"21,001","14,019","14,019","8,720",178,"65,668","22,989","19,086","11,999",216,"58,317","10,517","4,871","1,970",28,"70,882","21,931","19,100","10,283",15,"3,504",242,92,124,119,"13,465","1,980","1,246",451,127,"28,416","12,627","12,446","7,959"
Louisiana ,382,"446,999","315,570","230,308","345,719",253,"258,797","167,275","147,237","160,870",158,"275,286","167,113","158,249","130,002",249,"323,360","212,742","201,683","176,611",294,"283,716","156,366","148,320","125,295",345,"709,436","385,333","344,857","380,321",89,"49,812","30,824","26,652","32,917",83,"55,670","22,165","22,152","16,982",144,"194,002","108,695","94,461","128,439"
Maine ,225,"37,327","4,598","2,753",815,20,"6,674","1,697","1,298",481,28,"6,830",NULL,"1,504",555,66,"8,941",804,474,124,202,"47,754","5,391","5,168",975,1,NULL,NULL,NULL,NULL,12,"3,597",NULL,NULL,NULL,11,"2,280",353,198,97,12,"3,624",646,341,126
Maryland ,229,"59,938","18,785","18,200","10,744",61,"38,244","10,038","9,660","3,822",49,"13,257","3,889","3,739","1,880",108,"56,005","22,260","20,879","9,565",133,"25,940","13,254","12,944","6,224",17,"20,314","8,570","7,760","3,695",27,"11,869","2,864","2,864","1,099",61,"22,321","10,002","9,640","3,773",59,"25,249","10,889","10,806","5,035"
Massachusetts ,327,"20,214","4,012","3,276","1,746",57,"6,446","2,001","1,370","1,611",77,"2,020",812,722,439,183,"9,294","4,108","2,236","1,685",292,"13,963","4,502","3,271","1,940",50,"2,357","1,709",831,477,47,712,357,330,170,132,"3,284","1,401","1,030",826,121,"13,929","4,662","2,806",724
Michigan ,948,"316,720","76,755","68,600","38,549",433,"321,615","121,877","114,642","70,043",101,"189,155","88,138","80,293","59,830",788,"656,238","236,364","213,738","130,441",770,"227,711","80,843","75,509","44,557",84,"260,883","94,836","92,236","57,397",141,"39,841","20,173","19,316","12,753",450,"238,445","156,016","137,523","68,766",330,"223,293","114,667","111,208","90,651"
Minnesota ,406,"222,289","58,695","57,127","34,938",257,"184,023","71,007","70,072","48,220",109,"129,329","42,182","41,454","34,464",350,"298,027","133,339","132,167","95,713",374,"175,536","77,550","75,928","59,811",99,"177,936","67,081","67,081","40,699",108,"80,582","28,676","27,656","15,527",169,"82,212","29,627","29,611","17,722",143,"121,446","65,613","64,242","51,949"
Mississippi ,202,"231,526","166,534","165,220","163,822",159,"151,816","117,501","116,983","99,137",86,"71,644","61,072","60,742","51,061",194,"221,785","170,048","157,007","102,345",315,"318,168","237,242","213,638","180,675",198,"377,891","305,299","290,159","231,157",61,"62,141","60,586","58,666","49,580",103,"152,477","123,783","121,847","110,759",186,"269,345","219,324","218,450","170,820"
Missouri ,418,"631,330","385,612","379,217","306,079",189,"178,931","97,015","95,816","100,858",63,"57,547","41,066","40,795","35,551",361,"531,963","373,301","363,150","336,749",380,"280,517","208,560","205,526","221,022",105,"157,695","110,983","106,169","101,043",7,"7,965","7,539","7,539","9,661",113,"79,429","50,387","49,547","52,908",180,"331,081","298,253","296,934","279,056"
Montana ,"1,207","1,672,360","222,974","215,779","251,115",419,"1,198,640","87,564","85,416","91,413",678,"1,816,235","208,225","206,185","287,354","1,211","3,603,536","272,474","264,165","341,880","1,652","4,140,885","394,152","384,300","456,627",224,"774,719","156,816","153,645","205,238",783,"2,233,030","218,365","209,477","260,507",464,"808,231","65,211","61,185","76,241",446,"1,524,172","95,650","95,179","136,552"
Nebraska ,"1,357","2,053,200","448,982","433,485","352,760","1,469","2,603,605","1,147,402","1,113,197","1,039,593","1,005","1,383,112","501,902","489,479","452,331","2,445","5,155,245","1,734,489","1,708,723","1,484,114","2,040","4,792,281","1,078,206","1,047,865","1,037,359","1,318","2,966,384","1,452,207","1,421,646","1,431,477",708,"2,747,560","518,782","511,909","361,590",630,"767,097","259,518","249,548","237,089",557,"2,254,507","357,476","348,086","336,532"
Nevada ,249,"658,532","141,541","136,395","408,955",112,"40,078","22,522","22,520","77,892",108,"185,525","42,041","40,956","126,820",257,"352,693","195,269","194,626","604,340",402,"592,350","164,042","159,194","480,479",11,"66,429","40,374","39,929","130,759",185,"57,293","34,344","33,169","113,879",108,"45,140","31,929","28,400","93,938",35,"47,268","26,546","26,544","102,429"
New Hampshire ,89,"2,709",245,165,212,12,"3,104","1,033",319,151,21,"1,522",350,149,49,69,"4,496","1,527",714,400,53,"3,864",336,152,97,4,8,8,8,6,9,57,43,NULL,NULL,26,574,104,26,10,22,"1,402",40,40,13
New Jersey ,279,"17,934","6,223","5,635","4,160",32,"11,309","6,828","5,248","2,814",128,"16,747","5,560","5,364","2,352",125,"44,343","16,058","15,320","8,684",285,"49,649","19,766","14,838","8,461",32,"18,833","6,719","4,934","1,642",4,"1,400","1,204","1,204",NULL,155,"9,869","6,392","4,951","2,946",105,"16,027","4,611","4,611","2,917"
New Mexico ,720,"736,859","29,357","29,198","69,077",578,"35,445","18,314","14,686","24,107",513,"76,523","39,826","35,282","87,826",803,"460,139","100,064","92,929","203,451","1,261","345,832","97,940","71,260","147,135",139,"62,843","19,645","18,452","59,858","1,899","599,078","138,648","128,227","277,764",513,"235,738","17,791","14,257","25,348",304,"235,640","23,181","22,081","56,458"
New York ,717,"80,118","17,018","13,647","8,602",160,"29,099","9,608","4,304","2,355",74,"14,675","1,465","1,139",NULL,157,"54,336","8,899","8,504","5,042",349,"26,012","4,525","2,981","2,048",8,"3,057",736,187,219,65,"18,794","7,832","7,048",929,173,"14,271","9,604","3,767","2,185",150,"20,117","8,023","6,956","1,715"
North Carolina ,589,"128,723","22,662","19,744","11,314",244,"93,674","11,551","11,141","9,734",126,"14,762","6,715","5,449","3,905",342,"119,312","25,788","22,129","14,447",445,"152,460","52,190","28,171","18,977",65,"36,825","11,048","7,209","10,996",77,"11,941","5,315","4,616","3,744",123,"27,037","8,398","4,984","3,995",60,"27,109","6,957","5,157","3,392"
North Dakota ,117,"214,720","23,297","20,507","10,391",38,"101,774","18,738","18,738","12,889",35,"116,762","15,502","15,297","14,473",80,"283,891","55,989","55,586","39,285",71,"204,475","44,627","43,767","32,593",43,"184,061","44,291","44,211","34,375",14,"53,178","11,388","11,308","11,331",31,"41,252","3,691","3,581","1,671",54,"193,788","28,007","28,007","20,821"
Ohio ,303,"51,700","8,293","6,342","2,798",118,"28,243","10,290","6,937","12,137",55,"12,207","5,705","4,962","4,605",147,"46,417","12,648","12,171","9,223",206,"10,761","3,735","2,563","1,328",2,NULL,NULL,NULL,NULL,24,"2,808","1,296","1,296",720,210,"8,238","3,398","3,338","2,181",101,"21,253","5,974","5,537","2,779"
Oklahoma ,408,"733,759","103,509","93,667","85,257",183,"280,371","65,342","53,095","69,827",57,"32,728","26,290","18,799","34,011",196,"574,887","124,972","109,211","189,369",311,"607,322","46,406","44,698","52,344",113,"464,144","95,631","92,931","165,791",91,"82,709","25,038","23,238","28,579",106,"690,694","98,891","97,891","89,642",124,"130,926","30,909","30,619","39,590"
Oregon ,"2,193","1,229,893","174,002","115,008","153,503",842,"317,597","149,824","118,516","211,656",963,"527,147","139,980","120,632","199,536","2,141","1,986,273","396,765","302,580","512,073","2,346","2,169,594","351,363","299,299","481,519",384,"592,852","159,985","132,043","216,876","1,931","1,046,815","341,603","282,954","478,291",908,"251,743","75,465","60,537","108,169",800,"325,094","140,634","114,225","196,339"
Pennsylvania ,690,"64,982","12,090","7,045","4,292",99,"8,337","2,583",894,300,56,"11,631","4,071","2,726","1,275",146,"22,900","6,224","4,555","3,708",259,"33,651","7,056","4,954","4,400",4,NULL,112,72,28,25,"4,080",NULL,NULL,589,112,"17,023","1,433",994,510,95,"3,609","1,271","1,100",787
Rhode Island ,41,627,126,108,81,3,64,NULL,NULL,NULL,8,127,NULL,92,77,29,"1,126",533,507,488,36,"1,215",663,499,451,5,376,376,376,NULL,11,220,49,47,53,26,774,113,111,81,14,626,61,31,25
South Carolina ,394,"292,857","37,679","35,960","16,021",65,"59,914","19,236","17,545","18,731",36,"28,687","14,302","14,301","13,774",99,"126,752","29,890","29,384","30,385",303,"26,283","14,287","9,732","8,658",13,"37,500","14,678","10,778","10,060",27,"6,684","6,324","2,424","1,518",110,"38,645","18,857","14,957","11,673",71,"62,468","19,038","18,532","20,046"
South Dakota ,278,"421,625","52,576","51,838","38,152",76,"187,480","33,449","33,353","27,992",163,"251,287","79,629","71,779","51,707",268,"336,280","86,014","78,130","50,186",173,"105,050","20,161","20,161","13,332",151,"161,568","54,072","46,242","35,558",35,"33,146","4,174","4,174","5,206",166,"150,568","43,237","43,141","27,908",126,"703,952","40,873","32,947","18,803"
Tennessee ,306,"143,881","19,009","16,004","7,227",139,"83,656","19,126","18,351","18,060",62,"45,914","13,280","12,140","3,648",108,"107,968","30,414","30,024","12,206",229,"143,727","34,961","32,210","13,209",15,"56,152","20,105","20,105","6,865",17,"3,196",17,17,12,113,"45,477","10,707","10,665","2,938",80,"67,491","16,445","16,394","6,545"
Texas ,"1,636","2,154,995","333,590","315,714","387,584","1,185","1,139,780","581,977","501,057","627,255",863,"1,381,439","366,033","312,632","312,876","1,557","2,967,325","1,028,093","912,700","1,251,209","1,963","2,868,116","849,085","770,358","929,664",449,"3,356,789","501,850","401,207","481,235","2,402","4,475,153","1,379,034","1,246,421","1,444,161",761,"499,996","246,609","229,636","258,721",777,"682,150","369,701","264,811","363,626"
Utah ,"1,713","282,061","79,272","77,724","187,023",674,"709,454","106,707","105,014","253,493","1,037","739,909","147,966","142,691","273,388","1,640","731,522","179,895","176,655","440,848","2,704","1,243,323","368,061","354,284","751,324",354,"44,297","30,707","27,335","46,006","1,379","330,674","117,865","106,673","183,455",850,"59,569","35,944","33,772","49,684",548,"375,116","58,041","56,409","139,710"
Vermont ,153,"10,204",592,388,301,9,"2,259",NULL,NULL,NULL,23,"3,681",336,247,205,40,"4,223",585,175,158,80,"4,761",575,253,177,6,NULL,NULL,NULL,11,14,585,NULL,14,3,29,"1,061",89,55,22,49,"2,607",189,118,59
Virginia ,211,"47,362","8,192","6,502","2,928",63,"35,320","6,340","6,084","3,764",81,"34,206","7,069","4,344","3,432",166,"68,911","11,880","8,070","3,839",260,"42,833","8,892","4,472","2,515",26,"14,134","4,137","1,435",530,65,"16,309","3,331","1,839",675,68,"44,650","7,096","2,930",824,130,"55,723","16,148","9,615","5,565"
Washington ,"1,829","258,171","119,010","110,845","210,499",708,"312,571","176,593","171,067","334,831",982,"981,212","154,015","147,439","296,955","1,541","1,097,084","345,868","327,890","707,601","1,774","404,919","239,349","230,099","515,180",320,"520,467","233,871","221,099","443,720",604,"157,329","100,130","96,794","163,436",783,"142,650","87,107","85,769","164,553",596,"104,606","77,490","76,926","147,543"
West Virginia ,81,"10,788",424,364,167,6,522,261,261,153,19,NULL,38,38,38,29,"1,354",546,354,72,73,"1,006",420,420,214,9,321,153,153,64,10,NULL,40,22,10,0,0,0,0,0,65,"3,779",222,222,96
Wisconsin ,496,"289,255","73,750","56,800","36,551",109,"114,086","42,555","40,066","28,852",135,"68,504","30,716","29,630","20,073",329,"272,259","113,702","103,900","140,061",438,"236,586","99,517","94,475","81,777",102,"147,762","67,184","64,808","48,631",84,"17,470","1,200","1,016","2,468",86,"28,680","9,950","8,146","7,041",87,"41,702","12,601","12,232","6,156"
Wyoming ,659,"1,850,360","128,030","126,655","212,277",208,"681,240","115,279","106,736","151,245",418,"2,041,722","159,630","149,148","242,428",726,"1,922,745","281,301","265,239","412,267","1,083","2,959,338","291,559","279,957","418,412",215,"1,075,131","104,652","102,442","194,778",660,"1,932,718","161,408","152,442","197,269",240,"141,798","42,120","35,088","99,159",340,"308,706","73,728","70,290","89,726"
Region 01 New England ,875,"71,949","10,249","7,109","4,029",124,"17,609","5,093","3,255","2,422",176,"11,140","4,409","2,590","1,441",422,"37,982","9,123","4,380","3,251",703,"71,852","12,090","9,983","5,306",61,"3,079","2,367","1,489","1,964",91,"4,975","1,574","1,480",721,230,"8,058","2,204","1,598","1,278",227,"27,828","5,980","3,565","1,051"
Region 02 Mid Atlantic ,"1,651","245,757","69,455","61,177","34,798",378,"114,774","38,352","33,813","21,428",391,"93,322","29,956","28,143","18,416",676,"224,613","80,099","74,741","41,764","1,095","170,402","56,232","46,871","29,711",104,"70,406","29,707","26,399","13,530",154,"58,255","21,502","19,675","7,422",506,"125,433","43,827","32,244","15,783",436,"79,867","38,200","37,170","17,760"
Region 03 South Atlantic Gulf ,"3,892","1,504,639","303,046","293,922","222,441","1,593","617,859","284,499","245,161","260,942",969,"429,286","207,110","153,602","132,397","2,069","1,553,809","509,648","471,027","435,654","2,913","661,802","287,062","236,657","215,912",413,"441,405","209,119","195,886","172,918",641,"407,369","142,609","132,722","109,370","1,366","275,917","121,027","110,811","125,989","1,062","786,167","342,763","297,744","448,378"
Region 04 Great Lakes ,"1,864","452,573","112,573","96,290","54,951",655,"405,326","160,574","142,763","90,480",171,"213,178","94,805","85,972","61,994","1,002","789,792","287,488","261,914","164,338","1,038","266,736","95,562","88,445","48,809",155,"325,319","129,403","124,867","85,556",180,"46,718","20,836","19,772","13,056",714,"264,106","164,794","145,037","73,453",472,"264,005","128,696","124,227","96,094"
Region 05 Ohio ,"1,267","479,068","58,546","49,631","18,189",323,"307,081","58,498","58,051","36,041",214,"108,903","27,086","26,563","16,692",494,"367,816","78,899","68,578","35,211",670,"152,350","26,101","21,392","11,259",151,"326,920","64,744","61,763","26,015",104,"75,622","7,169","6,736","2,177",432,"114,987","32,229","31,510","17,335",353,"122,264","39,452","35,504","36,246"
Region 06 Tennessee ,188,"50,245","12,001","8,995","4,043",181,"59,988","11,988","11,793","17,037",98,NULL,"12,017","11,847","4,030",160,"92,998","33,244","31,105","15,372",299,"32,161","5,275","4,584","1,750",48,"111,470",NULL,NULL,NULL,45,"35,995","6,040","6,040","1,835",97,"19,298","6,138",NULL,NULL,129,"4,848",552,492,147
Region 07 Upper Mississippi ,"1,443","1,232,192","285,023","265,609","156,305",605,"522,747","222,105","217,700","156,880",430,"370,228","146,179","142,125","92,768","1,012","941,504","373,859","361,450","298,429","1,129","550,775","217,063","209,582","168,636",257,"415,396","183,708","181,318","104,245",180,"110,428","27,071","25,867","19,262",401,"187,274","64,459","60,986","45,159",415,"261,451","112,348","109,488","75,911"
Region 08 Lower Mississippi ,868,"1,596,179","1,253,558","1,160,318","1,293,194",656,"987,283","786,933","765,355","763,815",427,"775,714","606,162","586,600","558,375",945,"1,835,112","1,487,050","1,437,878","1,385,474","1,022","1,680,007","1,304,137","1,245,899","1,266,526",978,"2,194,533","1,718,908","1,645,143","1,738,037",199,"262,290","232,554","222,109","252,232",325,"496,927","394,551","389,953","398,230",580,"1,283,940","1,076,320","1,053,209","1,080,493"
Region 09 Souris Red Rainy ,81,"114,951","19,702","17,577","11,823",13,"39,599","9,927","9,927","7,139",23,"51,044","4,443","4,443",NULL,61,"149,557","29,181","29,181","19,070",30,"71,305","19,068","18,968","11,959",18,"119,668","22,540","22,540","15,190",16,"14,384","9,280","9,280","3,088",34,"14,770","9,362","9,362","3,126",35,"92,818","25,921","25,921","20,895"
Region 10 Missouri ,"4,004","7,024,978","954,945","922,133","926,661","2,592","6,640,623","1,697,374","1,632,812","1,639,901","2,590","6,188,344","1,047,843","1,013,079","1,150,828","5,103","11,866,575","2,610,078","2,533,696","2,557,327","5,347","12,040,200","1,916,543","1,857,732","2,077,733","2,162","5,825,875","2,020,684","1,971,466","2,189,684","2,708","9,581,140","1,290,157","1,228,271","1,307,705","1,727","1,967,587","487,736","465,026","560,209","1,647","5,429,964","640,407","619,394","698,534"
Region 11 Arkansas White Red ,"1,442","2,214,272","432,636","408,535","520,234",853,"1,636,520","491,302","461,011","585,859",683,"1,281,294","451,996","413,480","447,543","1,483","3,651,203","1,322,599","1,241,001","1,683,554","1,825","3,369,766","848,087","805,899","1,029,298",661,"2,093,904","757,833","689,109","825,803","1,727","3,963,291","1,075,381","981,525","1,267,121",504,"1,355,236","241,721","232,962","261,858",543,"828,065","390,047","321,169","349,721"
Region 12 Texas Gulf ,"1,389","1,888,751","253,828","237,954","269,997","1,002","908,930","490,813","418,681","495,006",577,"900,571","252,407","217,114","202,953","1,263","2,133,653","597,887","527,834","638,870","1,576","1,780,185","537,126","475,697","472,640",278,"618,992","284,687","248,960","265,533","1,847","3,005,027","970,100","888,422","980,650",690,"437,503","219,934","211,057","215,948",608,"355,468","192,797","136,396","222,449"
Region 13 Rio Grande ,748,"477,221","38,966","38,476","65,046",580,"57,079","48,213","46,246","77,782",688,"282,170","93,114","88,689","167,705",697,"322,078","128,679","124,944","285,484","1,469","500,081","231,768","198,111","356,418",330,"2,580,240","112,410","87,121","190,643","2,026","531,206","255,138","248,263","468,019",514,"202,652","38,816","27,961","60,494",424,"103,007","36,166","34,626","52,000"
Region 14 Upper Colorado ,"1,892","369,403","139,177","135,786","247,684",613,"769,074","114,564","112,124","195,846",815,"466,043","132,069","125,518","184,658","1,466","1,151,683","200,885","180,294","294,491","2,459","1,743,670","300,955","290,194","464,867",52,"159,992","31,722","31,722","44,560","1,541","1,174,654","225,233","212,781","326,009",484,"328,525","61,555","39,701","56,945",682,"646,125","76,263","73,701","115,859"
Region 15 Lower Colorado ,473,"111,683","70,191","60,187","275,388",263,"313,635","175,555","162,992","673,611",335,"230,376","174,219","164,186","687,758",495,"332,918","222,446","187,494","864,069",724,"493,515","225,433","196,637","875,503",220,"333,301","261,333","230,344","994,074",493,"230,959","158,244","123,856","455,667",315,"1,641,529","116,494","104,300","455,505",108,"285,045","71,476","69,070","251,302"
