AREA,TOTAL FARMS,TOTAL FARM LAND (ACRES),TOTAL ACRES IRRIGATED,TOTAL ACRE-FEET APPLIED,"Farms - Investigating improvements
not a priority","Acres irrigated - Investigating improvements
not a priority","Acre-feet applied - Investigating improvements
not a priority",Farms - Risk of reduced yield or poorer crop quality,Acres irrigated - Risk of reduced yield or poorer crop quality,Acre-feet applied - Risk of reduced yield or poorer crop quality,Farms - Physical field or crop conditions limit system improvements,Acres irrigated - Physical field or crop conditions limit system improvements,Acre-feet applied - Physical field or crop conditions limit system improvements,Farms - Improvements will not reduce costs enough to cover implementation costs,Acres irrigated -  Improvements will not reduce costs enough to cover implementation costs,Acre-feet applied -  Improvements will not reduce costs enough to cover implementation costs,Farms - Cannot finance improvements,Acres irrigated - Cannot finance improvements,Acre-feet applied - Cannot finance improvements,Farms - Landlord will not share in cost,Acres irrigated - Landlord will not share in cost,Acre-feet applied - Landlord will not share in cost,Farms - Uncertainty about future availability of water,Acres irrigated - Uncertainty about future availability of water,Acre-feet applied - Uncertainty about future availability of water,Farms - Will not be farming this operation long enough to justify improvements,Acres irrigated - Will not be farming this operation long enough to justify improvements,Acre-feet applied - Will not be farming this operation long enough to justify improvements,Farms - Improvements will increase management time or cost,Acres irrigated - Improvements will increase management time or cost,Acre-feet applied - Improvements will increase management time or cost
New Mexico ,"4,781","4,422,027","459,549","811,726","1,052","190,478","297,619",913,"91,450","154,545",618,"60,388","106,350","1,133","71,648","161,971","1,334","104,405","224,011",187,"59,415","115,414","2,467","159,217","247,204",365,"55,310","88,924","1,037","90,447","218,978"
New York ,963,"123,555","18,879","9,062",390,"7,308","4,852",96,"1,890","1,126",133,"5,444","1,927",185,"6,074","2,221",370,"3,619","1,348",28,936,246,36,"2,596",816,170,"1,114",477,113,"2,348",757
North Carolina ,"1,167","333,548","65,992","22,660",476,"14,940","3,991",174,"7,511","3,224",174,"16,580","5,285",264,"21,402","9,085",382,"22,841","10,031",100,"16,565","4,087",85,"12,720","2,533",215,"2,533",786,142,"10,322","5,134"
North Dakota ,257,"708,780","103,351","63,695",113,"44,528","28,948",29,"15,953","9,266",61,"26,989","16,549",112,"41,778","25,010",64,"23,776","12,953",42,"30,700","21,224",38,"16,429",NULL,34,"14,385","8,085",37,"21,548","11,234"
Ohio ,658,"108,700","22,750","15,095",350,"9,860","6,983",117,"2,762","1,532",75,"5,168","3,417",126,"4,021","1,937",227,"4,306","2,718",50,"5,138","2,100",44,"2,368","1,213",80,"1,018",348,111,"2,484","2,762"
Oklahoma ,945,"1,253,961","193,216","235,541",354,"36,281","42,964",212,"43,821","58,667",191,"37,434","45,664",261,"73,974","95,612",287,"50,980","57,793",112,"52,935","61,644",196,"49,330","59,950",122,"11,596","11,846",150,"34,026","45,569"
Oregon ,"6,780","5,706,029","898,408","1,745,715","2,610","257,338","484,683",474,"113,782","201,728","1,160","208,042","409,121","1,851","362,511","736,387","2,366","297,210","563,396",422,"180,923","360,342",807,"247,718","500,833",960,"79,041","152,914",518,"131,284","207,607"
Pennsylvania ,"1,149","180,446","13,180","5,339",614,"6,238","2,648",173,"3,145","1,406",182,"2,908","1,332",245,NULL,"1,769",401,"4,608","2,059",100,"1,991","1,233",94,"1,011",628,216,"1,418",996,167,"2,532","1,068"
Rhode Island ,217,"5,822","2,271","1,609",47,"1,692","1,136",21,726,637,25,36,31,56,113,68,90,254,253,22,44,25,0,0,0,26,85,56,47,80,68
South Carolina ,425,"252,109","54,301","27,423",174,"13,233","5,514",53,NULL,"1,802",51,"6,755","2,979",170,"18,190","7,938",185,"17,748","9,959",57,"10,394","4,968",36,"6,673","2,450",85,"8,096","4,774",72,"1,995","1,217"
South Dakota ,610,"1,178,186","148,079","119,949",239,"51,883","42,129",83,"23,685",NULL,125,"23,662","26,889",86,"39,925","38,510",106,"28,166","29,897",40,"16,267","13,061",53,"21,567","16,916",58,"17,450","13,325",110,"30,241","22,221"
Tennessee ,485,"330,438","76,694","37,466",235,"24,355","8,694",96,"20,515","8,174",89,"22,614","8,329",102,"34,484","21,661",162,"18,543","8,069",44,"35,299","22,929",43,"11,962","5,326",67,"21,856","8,656",79,"18,938","7,543"
Texas ,"8,105","12,113,141","2,609,367","3,239,319","2,488","590,190","727,190","1,763","651,266","931,655","2,048","548,310","684,665","2,154","909,894","1,133,898","2,664","714,552","881,917",999,"601,058","853,040","3,504","1,386,799","1,642,155","1,036","295,107","368,525",839,"348,483","421,065"
Utah ,"6,097","2,968,854","663,156","1,379,677","1,976","137,417","283,677",956,"68,094","132,554","1,045","150,710","295,993","1,865","230,836","489,343","2,015","272,415","593,577",602,"105,029","213,739","1,768","151,101","285,915","1,011","68,000","129,993",662,"66,399","124,996"
Vermont ,260,"12,999",888,504,93,414,234,18,34,18,60,103,83,48,214,168,90,257,175,30,151,130,22,47,22,67,231,207,41,272,94
Virginia ,654,"168,400","23,466","11,084",315,"4,923","3,321",76,"1,127",942,100,"9,151","3,346",178,"9,070","4,701",246,"5,039","2,254",53,"6,274","1,900",49,"2,147",948,170,"3,039","2,046",90,"1,700","1,881"
Washington ,"5,694","2,906,553","857,025","1,926,101","2,783","240,333","568,680",431,"173,534","422,170",877,"193,776","464,425","1,558","428,357","930,513","1,788","267,275","579,384",619,"205,593","446,307",921,"136,085","325,245","1,162","123,077","256,206",699,"131,761","309,053"
West Virginia ,129,"14,938",671,449,65,526,348,14,127,57,9,117,53,7,115,60,48,232,121,4,112,51,4,112,51,25,169,88,21,291,157
Wisconsin ,"1,208","759,311","268,168","234,052",475,"50,143","43,505",228,"77,165","72,059",203,"48,084","41,305",326,"107,531","82,339",433,"65,545","45,493",96,"54,828","43,244",95,"39,024","32,400",212,"13,540","6,670",192,"30,086","41,167"
Wyoming ,"2,923","7,892,959","843,000","1,289,034","1,071","313,096","454,048",319,"115,699","179,608",660,"199,487","353,177",716,"265,830","354,539",883,"201,986","333,187",185,"98,406","208,238",471,"239,035","374,885",256,"83,228","134,319",215,"81,052","150,115"
Region 01 New England ,"2,001","124,809","26,746","17,987",908,"11,947","6,502",191,"4,881","3,951",235,"9,169","4,005",400,"10,735","6,817",729,"8,447","6,740",176,"1,167",898,149,"2,096","3,011",381,"2,049","3,523",250,"4,276","1,563"
Region 02 Mid Atlantic ,"3,465","693,937","182,248","94,223","1,633","53,220","27,962",434,"37,046",NULL,539,"45,898","20,655",822,"75,394","41,436","1,246","47,453","28,012",276,"32,065","15,410",233,"19,307","11,804",655,"17,417","8,558",441,"26,500","15,651"
Region 03 South Atlantic Gulf ,"8,077","3,613,976","1,187,937","780,908","3,473","384,682","277,044","1,173","172,024","124,674","1,250","238,383","145,857","1,854","396,616","248,370","2,783","336,230","232,314",684,"235,490","145,035",790,"172,460","105,633","1,437","180,208","127,094","1,096","183,967","123,216"
Region 04 Great Lakes ,"3,247","1,165,603","391,479","219,933","1,331","84,424","48,323",526,"95,483","60,745",471,"87,316","43,977",730,"143,737","75,816",945,"75,825","41,681",240,"82,193","45,965",223,"47,377","27,451",582,"39,762","18,746",420,"60,373","36,054"
Region 05 Ohio ,"1,833","809,909","172,253","92,612",908,"66,997","33,640",307,"27,884","16,674",258,"46,346","25,727",397,"48,524",NULL,529,"20,868","13,246",153,"45,604","23,351",147,"14,284",NULL,322,"25,762","12,808",319,"21,313","10,894"
Region 06 Tennessee ,455,"159,933","20,770","9,943",233,"4,925","1,924",71,"2,968","2,492",76,"7,597","4,117",88,NULL,"1,977",173,"3,855","1,831",27,"4,735","1,600",36,"3,863","2,926",89,"1,844",734,58,"3,430","2,053"
Region 07 Upper Mississippi ,"3,384","2,320,084","702,865","515,550","1,527","200,943","140,547",592,"162,639","132,806",549,"136,341","98,516",861,"250,342","181,724",963,"148,480","102,654",311,"152,115","105,419",272,"73,957","53,185",519,"90,089","57,981",371,"87,424","81,765"
Region 08 Lower Mississippi ,"4,134","6,030,329","4,250,736","5,151,880","1,656","1,471,623","1,732,794",623,"662,526","711,765",898,"986,581","1,188,122","1,143","1,286,698","1,470,847","1,312","1,132,902","1,331,250","1,177","1,674,274","2,123,137",423,"625,825","736,030",730,"543,655","612,008",661,"646,853","743,686"
Region 09 Souris Red Rainy ,242,"480,436","75,729","42,254",128,"24,512","13,100",45,NULL,"4,099",72,"20,314","11,106",78,"20,316","10,959",82,"16,194","8,432",55,"18,292","9,271",45,"8,146","3,410",49,"9,540","4,777",78,"17,339","10,139"
Region 10 Missouri ,"18,462","34,989,895","7,488,637","8,426,001","5,500","1,885,132","2,024,945","1,745","1,086,610","1,300,766","3,363","1,614,992","1,898,868","5,747","2,920,338","3,315,381","4,243","1,660,210","1,909,154","2,561","1,753,432","2,026,552","4,337","1,966,077","2,179,087","1,919","820,923","904,324","1,934","1,021,266","1,182,581"
Region 11 Arkansas White Red ,"5,578","11,348,248","2,746,258","3,582,335","1,873","635,932","824,040","1,544","721,181","940,901",901,"485,745","653,642","1,926","972,960","1,266,831","1,800","655,204","826,556",730,"682,045","912,498","2,053","1,109,687","1,461,009",691,"309,092","378,038",763,"436,559","571,442"
Region 12 Texas Gulf ,"7,094","7,006,849","1,919,444","2,298,853","2,340","478,550","535,704","1,525","473,722","640,635","1,922","468,906","554,830","1,787","647,072","782,499","2,379","505,967","601,752",870,"471,304","656,204","2,972","1,060,631","1,209,768",827,"201,966","255,660",619,"205,325","227,747"
Region 13 Rio Grande ,"4,761","5,393,844","442,741","847,108","1,139","156,223","321,822","1,057","106,263","249,574",903,"94,742","150,217","1,449","124,032","246,581","1,508","133,255","276,859",200,"56,263","103,457","2,823","216,043","379,661",381,"68,796","87,624","1,194","55,390","98,781"
Region 14 Upper Colorado ,"6,519","4,021,123","793,793","1,572,717","1,899","187,789","299,911",689,"98,354","160,699",700,"159,911","299,701","1,567","204,480","422,435","2,043","246,294","551,170",547,"92,297","171,169","2,027","246,364","412,409",502,"90,356","210,873",949,"158,250","381,813"
Region 15 Lower Colorado ,"3,028","2,303,646","489,529","2,076,344","1,485","99,019","325,507",379,"86,958","357,691",493,"109,201","528,580",729,"146,757","669,166","1,166","127,832","539,347",380,"195,427","929,550",554,"135,580","539,924",484,"102,761","536,764",224,"35,367","151,036"
Region 16 Great Basin ,"5,913","4,591,859","949,353","2,137,750","1,448","184,228","424,373",920,"138,416","358,074",831,"253,345","568,606","1,717","318,602","731,025","1,978","371,904","825,744",473,"153,573","363,427","2,414","288,902","663,510","1,287","110,536","242,760",522,"87,966","210,003"
Region 17 Pacific Northwest ,"22,088","13,032,279","3,786,501","7,273,553","9,617","971,437","1,893,625","1,548","569,232","1,103,996","3,580","950,982","1,917,170","5,707","1,628,310","3,253,323","6,995","1,094,829","2,121,786","1,808","874,406","1,704,365","3,006","876,595","1,629,907","3,233","437,330","828,763","2,250","412,387","763,987"
Region 18 California ,"26,768","8,477,243","3,616,965","11,149,917","12,576","747,754","2,271,520","6,499","716,030","2,162,302","4,431","720,544","2,475,232","5,268","1,005,745","3,055,240","9,246","1,027,293","3,025,830","1,824","788,320","2,554,377","8,252","1,619,529","4,964,976","4,770","399,767","1,323,211","3,761","541,605","1,671,943"
Region 19 Alaska ,59,"1,444",211,102,29,147,66,13,40,17,11,96,32,15,36,13,29,137,50,8,20,12,6,12,4,20,32,20,18,44,16
Region 20 Hawaii ,"1,007","184,874","61,647","216,719",539,"3,873","7,657",158,NULL,NULL,113,"6,677","16,849",243,NULL,NULL,319,"11,870","23,948",108,"2,656","2,630",133,"46,312",NULL,177,"1,173","2,541",176,"1,990","2,429"
