GEOGRAPHIC AREA,TOTAL FARMS,TOTAL FARM LAND (ACRES),TOTAL ACRES IRRIGATED,TOTAL ACRE-FEET APPLIED,"Farms - Investigating improvementsnot a priority","Acres irrigated - Investigating improvementsnot a priority","Acre-feet applied - Investigating improvementsnot a priority",Farms - Risk of reduced yield or poorer crop quality,Acres irrigated - Risk of reduced yield or poorer crop quality,Acre-feet applied - Risk of reduced yield or poorer crop quality,Farms - Physical field or crop conditions limit system improvements,Acres irrigated - Physical field or crop conditions limit system improvements,Acre-feet applied - Physical field or crop conditions limit system improvements,Farms - Improvements will not reduce costs enough to cover implementation costs,Acres irrigated -  Improvements will not reduce costs enough to cover implementation costs,Acre-feet applied -  Improvements will not reduce costs enough to cover implementation costs,Farms - Cannot finance improvements,Acres irrigated - Cannot finance improvements,Acre-feet applied - Cannot finance improvements,Farms - Landlord will not share in cost,Acres irrigated - Landlord will not share in cost,Acre-feet applied - Landlord will not share in cost,Farms - Uncertainty about future availability of water,Acres irrigated - Uncertainty about future availability of water,Acre-feet applied - Uncertainty about future availability of water,Farms - Will not be farming this operation long enough to justify improvements,Acres irrigated - Will not be farming this operation long enough to justify improvements,Acre-feet applied - Will not be farming this operation long enough to justify improvements,Farms - Improvements will increase management time or cost,Acres irrigated - Improvements will increase management time or cost,Acre-feet applied - Improvements will increase management time or cost
Kentucky ,522,"138,925","28,033","11,025",278,"9,404","3,910",84,"5,746","2,126",77,"8,751","3,090",84,"9,128","3,781",72,"4,929","2,075",4,234,NULL,31,136,NULL,109,"1,027",794,117,"2,034","1,079"
Louisiana ,"1,048","956,953","525,688","451,801",321,"115,149","70,530",182,"118,483","79,245",196,"129,372","147,835",274,"178,780","191,037",281,"168,573","175,919",230,"163,759","160,424",32,"26,226","8,144",157,"88,545","58,231",131,"77,807","54,733"
Maine ,612,"129,412","17,575","5,865",244,"2,008","1,012",41,"1,774",352,44,"1,568",284,80,"1,120",222,216,"8,619","3,269",37,"5,614","1,268",8,NULL,105,131,169,143,62,692,185
Maryland ,633,"221,121","77,582","46,140",325,"36,460","19,228",110,"7,444","3,768",131,"19,614","14,897",162,"26,170","14,837",119,"18,109","9,980",30,"5,370","4,020",20,660,600,98,"2,324","1,629",51,"9,035","6,656"
Massachusetts ,703,"54,193","6,662","2,228",364,"2,686",801,6,12,NULL,7,NULL,53,95,458,184,215,"3,557","1,287",6,NULL,7,50,790,299,76,82,31,52,698,162
Michigan ,"2,026","1,198,862","408,231","227,469",665,"89,522","50,602",381,"87,584","61,759",167,"58,430","40,747",577,"205,233","116,273",527,"99,279","76,112",101,"87,325","54,593",38,"36,861","31,818",331,"32,136","13,977",299,"91,372","62,441"
Minnesota ,"1,122","800,039","248,112","119,301",392,"53,242","17,041",188,"57,787","26,384",140,"26,863","11,646",373,"133,485","75,293",312,"66,826","26,658",151,"57,526","21,049",54,"42,704","21,964",200,"60,732","34,452",173,"72,479","35,414"
Mississippi ,946,"1,398,445","910,736","629,499",343,"304,378","208,080",136,"145,758","111,763",122,"153,532","106,502",208,"342,886","237,244",291,"280,701","206,880",185,"367,047","236,011",39,"74,446","57,824",106,"130,289","88,963",121,"122,372","88,092"
Missouri ,"1,269","1,356,267","701,540","578,601",552,"148,102","108,051",226,"151,576","112,647",100,"133,301","96,957",193,"169,110","170,011",375,"231,397","195,151",151,"192,309","163,228",15,891,267,185,"125,260","99,305",96,"40,733","29,742"
Montana ,"4,685","13,218,741","1,151,252","1,296,561","1,247","258,479","310,756",469,"175,482","193,585",879,"289,889","320,326","1,345","408,968","469,447","1,555","372,969","356,733",323,"168,689","210,723",701,"297,114","333,016",708,"117,385","133,098",543,"204,609","227,006"
Nebraska ,"6,691","11,782,909","4,084,690","2,603,587","1,879","869,243","542,935",800,"634,274","406,448",934,"542,629","394,729","2,346","1,635,962","1,066,297","2,037","1,300,347","897,530","1,305","1,096,828","740,671",343,"248,710","169,766",662,"355,988","219,468",558,"405,514","263,669"
Nevada ,"1,070","1,878,004","388,010","1,072,309",269,"67,776","203,598",85,"59,683","165,889",197,"88,682","231,093",214,"128,801","374,244",315,"94,029","251,308",54,"10,640","30,044",310,"137,371","391,258",45,"10,800","21,765",72,"81,117","213,380"
New Hampshire ,349,"30,416","1,138",898,126,306,462,32,252,NULL,57,617,NULL,84,159,59,79,131,120,1,NULL,NULL,24,NULL,27,59,59,56,22,143,NULL
New Jersey ,857,"122,697","43,869","25,442",276,"5,599","2,431",114,"6,493","3,143",118,"4,911","2,959",234,"12,362","6,658",318,"26,404","17,549",35,"8,106","6,034",5,"1,625",697,153,"3,614","2,070",149,"1,488",246
New Mexico ,"5,451","1,713,522","290,047","551,711","1,509","68,300","94,873",979,"102,208","183,898",855,"105,838","167,202",810,"81,664","145,201","1,701","111,182","158,272",102,"30,247","73,228","2,184","154,704","257,434",454,"12,641","33,837",519,"16,192","30,593"
New York ,"1,124","174,611","22,028","12,464",466,"5,199","6,921",268,"5,934","1,615",165,"7,143","2,396",247,"8,947","4,451",292,"8,536","3,539",33,"4,281","1,350",45,"1,284",486,104,"3,939","1,390",148,"3,086",881
North Carolina ,"1,028","853,995","73,574","20,916",430,"14,001","5,049",117,"43,593","11,215",118,"43,884","11,221",98,"2,290","1,006",237,"5,252","1,459",48,917,335,55,175,241,159,"2,024","1,090",115,"7,209","1,961"
North Dakota ,442,"1,070,372","169,228","87,724",201,"31,843","12,517",118,"58,868","33,436",50,"22,368","13,886",131,"62,901","32,151",104,"55,399","29,564",91,"81,783","45,604",50,"39,840","20,830",6,"2,884","2,994",33,"6,320","2,567"
Ohio ,780,"110,529","17,946","8,910",475,"8,679","3,190",73,332,137,42,384,271,154,"4,352","2,027",221,"5,629","1,612",62,528,337,53,121,154,127,970,523,90,"1,740","2,525"
Oklahoma ,898,"1,588,253","236,192","277,600",337,"37,319","40,039",90,"44,531","51,142",106,"30,449","37,810",223,"57,965","64,678",175,"82,403","86,564",56,"62,237","72,346",78,959,232,104,"32,147","48,614",107,"34,772","48,311"
Oregon ,"8,007","6,077,118","914,710","1,575,943","2,639","157,924","271,091",712,"144,824","258,726","1,088","174,415","306,788","2,078","363,037","660,777","2,637","297,045","513,968",343,"131,685","209,942","1,085","207,550","351,035","1,006","63,016","101,427",629,"66,583","121,472"
Pennsylvania ,"1,400","153,300","27,367","34,335",828,"22,728","33,143",125,"1,092",200,61,891,60,210,"2,132",NULL,239,"2,013",446,26,NULL,16,47,248,58,253,"1,148",503,31,223,87
Rhode Island ,133,"5,824","1,431",379,45,266,154,5,800,60,10,855,86,53,168,106,41,279,NULL,9,36,16,4,4,NULL,26,852,81,37,73,49
South Carolina ,698,"573,193","151,865","119,588",240,"19,407","15,642",61,"12,898","13,949",73,"14,983","15,095",141,"42,441","31,683",215,"45,178","34,169",43,"47,422","34,948",1,NULL,NULL,125,"45,843","37,443",58,"21,194","12,885"
South Dakota ,531,"1,236,052","173,227","157,777",116,"33,183","29,368",32,"34,735","21,368",92,"31,982","51,649",144,"29,533","29,009",125,"30,775","27,623",88,"21,802","12,034",0,0,0,43,"13,247","11,966",26,"13,708","5,208"
Tennessee ,530,"342,798","54,006","30,387",214,"17,902","6,652",57,"11,440","11,094",44,"2,596","2,342",121,"23,968","12,706",143,"12,745","11,959",1,NULL,NULL,37,NULL,NULL,42,"4,997",948,59,NULL,"2,679"
Texas ,"6,759","11,320,139","2,348,698","2,953,044","2,348","440,900","562,951","1,078","404,366","444,601",772,"266,393","311,769","1,515","695,289","817,175","1,616","539,250","667,237",551,"564,761","751,095","1,164","657,838","681,380",712,"187,584","272,838","1,040","438,723","574,960"
Utah ,"7,588","4,715,049","790,579","1,547,429","2,205","190,606","335,038",833,"158,779","288,637",770,"160,925","320,007","1,496","221,167","433,299","2,697","249,852","456,808",470,"107,244","197,459","1,905","306,745","590,467","1,087","82,313","160,736",613,"93,516","144,465"
Vermont ,274,"46,559","1,545",903,151,436,245,37,120,61,4,74,47,40,651,484,80,614,248,7,62,NULL,17,82,57,14,151,69,31,92,NULL
Virginia ,860,"271,677","31,718","8,218",360,"9,731","2,972",56,"1,188",142,68,"2,565",924,222,"9,069","1,956",147,"9,620","2,712",33,"3,490",473,37,"3,606","1,035",151,"2,714",963,88,"2,686",388
Washington ,"6,272","4,098,453","1,023,460","2,141,512","1,963","179,274","410,327",951,"238,878","443,317",968,"252,992","541,581","1,670","452,737","1,008,022","1,823","301,123","621,329",327,"144,581","304,474",626,"115,262","242,183",842,"136,879","305,594",496,"126,419","262,863"
West Virginia ,213,"33,968",379,165,73,115,46,63,95,60,5,8,NULL,3,NULL,3,45,62,27,3,15,6,39,NULL,20,67,130,45,45,NULL,21
Wisconsin ,"1,254","896,253","303,772","171,029",538,"53,318","19,971",198,"70,188","45,842",146,"53,093","26,726",284,"114,889","66,693",260,"94,055","47,963",66,"87,721","61,537",21,"8,001","5,317",148,"27,289","13,206",70,"41,118","31,913"
Wyoming ,"3,331","9,503,372","924,162","1,348,111",787,"206,760","352,341",405,"214,946","293,434",762,"186,689","272,471",884,"276,943","489,889","1,043","336,089","506,013",226,"134,198","195,909",406,"154,377","143,051",313,"34,941","70,727",422,"152,083","189,257"
Region 01 New England ,"2,057","277,886","30,047","12,400",841,"5,822","2,636",123,"2,932","1,012",165,"3,326",908,478,"4,172","2,195",607,"13,074","6,017",60,"6,114","2,441",89,"1,964",477,322,"1,327",380,179,"1,671",797
Region 02 Mid Atlantic ,"3,950","921,991","272,577","149,875","1,922","96,822","69,546",568,"45,987","18,901",482,"47,339","26,097",885,"85,259","37,335",826,"89,357","40,579",170,"39,549","19,219",154,"19,917","7,566",692,"28,614","12,971",353,"26,635","12,918"
Region 03 South Atlantic Gulf ,"7,900","4,193,680","1,017,784","816,726","3,186","253,274","209,710","1,032","176,077","107,645",798,"126,558","83,211","1,550","253,373","233,142","1,977","220,174","161,837",382,"186,737","146,783",498,"133,013","84,301","1,269","90,115","70,928",746,"94,743","64,289"
Region 04 Great Lakes ,"3,793","1,735,014","553,435","285,013","1,471","121,210","59,400",661,"110,672","69,881",320,"72,060","47,398",895,"265,069","137,015",894,"144,945","98,673",160,"97,162","58,898",55,"37,391","31,844",551,"48,047","20,410",463,"107,896","69,634"
Region 05 Ohio ,"2,424","1,418,627","271,584","135,814","1,122","46,696","15,506",407,"84,550","51,279",193,"47,580","30,872",514,"123,140","58,177",582,"66,605","24,339",141,"50,452","31,324",161,429,307,329,"8,604","3,715",313,"31,865","23,249"
Region 06 Tennessee ,625,"183,808","24,890","21,048",216,"6,281","2,786",73,"12,235","13,159",32,"2,692",NULL,71,NULL,NULL,202,"9,206","11,651",41,NULL,NULL,30,"6,367","4,865",57,316,114,145,554,344
Region 07 Upper Mississippi ,"3,316","2,485,453","750,532","423,800","1,438","200,924","95,600",600,"184,526","122,943",353,"111,146","54,563",767,"273,756","170,919",789,"200,079","116,613",396,"225,390","147,766",60,"23,168","12,924",346,"60,640","37,085",407,"124,038","87,038"
Region 08 Lower Mississippi ,"3,668","6,061,228","4,423,858","4,368,132","1,003","1,022,772","1,022,735",632,"738,278","735,031",628,"990,622","1,068,588",983,"1,391,507","1,457,005","1,085","1,195,170","1,253,891",961,"1,736,086","1,771,241",147,"223,764","221,282",468,"473,979","401,290",449,"636,922","638,155"
Region 09 Souris Red Rainy ,295,"679,662","135,091","75,119",61,"13,417","4,624",56,"46,746","24,606",36,"23,458","11,304",152,"91,774","52,057",121,"48,703","21,456",63,"62,790","29,966",34,"34,340","18,888",58,"33,731","18,854",36,"36,487","17,648"
Region 10 Missouri ,"17,665","42,987,386","7,142,676","6,220,427","4,920","1,483,314","1,267,257","2,223","1,251,187","1,094,369","2,735","1,151,454","1,157,893","5,209","2,706,306","2,415,077","5,308","2,175,814","1,953,907","2,224","1,694,761","1,445,603","2,136","855,079","797,923","1,904","549,224","494,208","1,618","735,051","676,340"
Region 11 Arkansas White Red ,"5,290","13,317,940","2,770,889","3,391,255","1,302","494,075","622,928",897,"550,797","676,388",768,"419,583","472,677","1,296","894,828","1,078,538","1,624","783,488","886,354",616,"807,013","927,381","1,599","714,900","824,696",564,"290,492","361,940",595,"391,901","483,150"
Region 12 Texas Gulf ,"5,644","5,946,454","1,551,049","1,907,740","2,066","286,739","329,936",908,"286,647","293,289",691,"192,620","214,857","1,221","471,078","534,846","1,476","417,674","471,231",429,"375,138","490,337",998,"466,728","428,370",610,"128,614","189,199",890,"370,558","504,319"
Region 13 Rio Grande ,"4,547","1,645,320","350,482","794,609","1,277","55,851","123,826",874,"94,617","254,849",658,"35,057","116,031",709,"100,782","198,532","1,264","89,877","211,931",98,"26,352","99,715","1,658","113,555","268,110",408,"11,203","29,719",338,"13,889","24,088"
Region 14 Upper Colorado ,"7,566","3,996,111","830,874","1,205,703","2,230","191,998","302,573",899,"164,638","287,476","1,006","143,229","208,678","1,499","155,426","212,410","2,538","218,688","321,358",339,"94,850","120,518","2,035","323,295","486,952",642,"32,788","51,613",668,"136,529","142,828"
Region 15 Lower Colorado ,"1,797","1,558,204","485,097","2,365,299",674,"111,515","628,232",174,"136,256","679,340",198,"123,034","488,325",375,"135,156","663,561",462,"210,888","1,069,602",141,"207,399","1,128,373",373,"145,701","660,491",309,"116,385","631,776",223,"103,998","574,713"
Region 16 Great Basin ,"6,936","5,909,515","1,157,152","2,553,112","1,860","214,403","448,755",727,"204,556","435,872",866,"256,314","585,124","1,389","347,703","777,064","2,387","330,242","710,620",488,"137,311","261,991","1,683","424,599","938,041","1,083","107,336","194,570",577,"165,124","341,618"
Region 17 Pacific Northwest ,"23,661","15,293,359","4,051,109","7,764,386","7,816","702,406","1,362,196","2,300","741,799","1,361,404","3,433","844,925","1,567,284","6,502","1,758,955","3,450,757","7,507","1,393,325","2,673,479","1,397","777,253","1,526,020","2,416","631,808","1,156,279","3,243","552,952","1,011,896","2,111","472,819","909,986"
Region 18 California ,"21,228","7,733,579","3,674,028","10,563,532","6,672","625,865","1,643,874","3,763","865,435","2,438,392","2,929","762,915","2,198,226","4,999","1,283,040","3,789,038","5,801","1,222,139","3,620,321","1,268","675,977","2,149,874","5,107","1,178,039","3,504,097","3,519","332,425","973,175","2,670","503,808","1,550,533"
Region 19 Alaska ,201,"4,827","1,081",954,92,206,248,8,21,28,3,21,NULL,11,NULL,NULL,35,574,561,1,NULL,NULL,25,30,17,32,243,123,19,19,17
Region 20 Hawaii ,"1,002","411,528","17,243","26,064",344,"2,490","3,309",86,638,"1,187",31,"1,075","1,173",113,"5,450","12,381",251,"4,773","4,997",37,"3,584","9,966",106,"5,034","6,181",263,"2,669","2,812",160,"1,049",778
