AREA,Investigating improvements not a priority (2023),Risk of reduced yield or poorer crop quality (2023),Physical field or crop conditions limit system improvements (2023),Cannot finance improvements (2023),Landlord will not share in cost (2023),Uncertainty about future availability of water (2023),Will not be farming this operation long enough to justify improvements (2023),Investigating improvements not a priority (2018),Risk of reduced yield or poorer crop quality (2018),Physical field or crop conditions limit system improvements (2018),Cannot finance improvements (2018),Landlord will not share in cost (2018),Uncertainty about future availability of water (2018),Will not be farming this operation long enough to justify improvements (2018),Investigating improvements not a priority (2013),Risk of reduced yield or poorer crop quality (2013),Physical field or crop conditions limit system improvements (2013),Cannot finance improvements (2013),Landlord will not share in cost (2013),Uncertainty about future availability of water (2013),Will not be farming this operation long enough to justify improvements (2013),Risk of reduced yield or poorer crop quality (2003),Physical field or crop conditions limit system improvements (2003),Cannot finance improvements (2003),Landlord will not share in cost (2003),Uncertainty about future availability of water (2003),Will not be farming this operation long enough to justify improvements (2003)
South Carolina,35960,17545,14301,9732,10778,2424,14957,19407,12898,14983,45178,47422,,45843,13233,,6755,17748,10394,6673,8096,6133,4252,5342,,2270,6480
South Dakota,51838,33353,71779,20161,46242,4174,43141,33183,34735,31982,30775,21802,0,13247,51883,23685,23662,28166,16267,21567,17450,13419,32392,65585,6619,13270,15095
Tennessee,16004,18351,12140,32210,20105,17,10665,17902,11440,2596,12745,,,4997,24355,20515,22614,18543,35299,11962,21856,6713,2951,3494,3218,743,558
Texas,315714,501057,312632,770358,401207,1246421,229636,440900,404366,266393,539250,564761,657838,187584,590190,651266,548310,714552,601058,1386799,295107,209434,132402,625830,423777,524780,387366
Utah,77724,105014,142691,354284,27335,106673,33772,190606,158779,160925,249852,107244,306745,82313,137417,68094,150710,272415,105029,151101,68000,68245,75970,197579,43287,89954,66917
Vermont,388,,247,253,,14,55,436,120,74,614,62,82,151,414,34,103,257,151,47,231,,0,127,0,0,0
Virginia,6502,6084,4344,4472,1435,1839,2930,9731,1188,2565,9620,3490,3606,2714,4923,1127,9151,5039,6274,2147,3039,4360,5703,8620,2362,1614,2837
Washington,110845,171067,147439,230099,221099,96794,85769,179274,238878,252992,301123,144581,115262,136879,240333,173534,193776,267275,205593,136085,123077,72797,84239,221858,79637,50438,110204
West Virginia,364,261,38,420,153,22,0,115,95,8,62,15,,130,526,127,117,232,112,112,169,,,114,0,155,
Wisconsin,56800,40066,29630,94475,64808,1016,8146,53318,70188,53093,94055,87721,8001,27289,50143,77165,48084,65545,54828,39024,13540,24105,8766,34305,11401,1956,10002
Wyoming,126655,106736,149148,279957,102442,152442,35088,206760,214946,186689,336089,134198,154377,34941,313096,115699,199487,201986,98406,239035,83228,93501,131347,289386,25796,180440,69364
Region 01 New England,7109,3255,2590,9983,1489,1480,1598,5822,2932,3326,13074,6114,1964,1327,11947,4881,9169,8447,1167,2096,2049,1315,856,2411,359,945,634
Region 02 Mid Atlantic,61177,33813,28143,46871,26399,19675,32244,96822,45987,47339,89357,39549,19917,28614,53220,37046,45898,47453,32065,19307,17417,28082,14696,27504,9268,11552,31856
Region 03 South Atlantic Gulf,293922,245161,153602,236657,195886,132722,110811,253274,176077,126558,220174,186737,133013,90115,384682,172024,238383,336230,235490,172460,180208,104079,82955,236209,57830,53094,69031
Region 04 Great Lakes,96290,142763,85972,88445,124867,19772,145037,121210,110672,72060,144945,97162,37391,48047,84424,95483,87316,75825,82193,47377,39762,45143,31313,55027,19821,13806,22205
Region 05 Ohio,49631,58051,26563,21392,61763,6736,31510,46696,84550,47580,66605,50452,429,8604,66997,27884,46346,20868,45604,14284,25762,40002,20676,22869,30279,5486,12036
Region 06 Tennessee,8995,11793,11847,4584,,6040,,6281,12235,2692,9206,,6367,316,4925,2968,7597,3855,4735,3863,1844,,2863,5587,,421,
Region 07 Upper Mississippi,265609,217700,142125,209582,181318,25867,60986,200924,184526,111146,200079,225390,23168,60640,200943,162639,136341,148480,152115,73957,90089,88215,47601,87692,55648,15565,51312
Region 08 Lower Mississippi,1160318,765355,586600,1245899,1645143,222109,389953,1022772,738278,990622,1195170,1736086,223764,473979,1471623,662526,986581,1132902,1674274,625825,543655,564449,362514,1001060,1019553,237277,332242
Region 09 Souris Red Rainy,17577,9927,4443,18968,22540,9280,9362,13417,46746,23458,48703,62790,34340,33731,24512,,20314,16194,18292,8146,9540,4732,3786,17303,5966,3220,4461
Region 10 Missouri,922133,1632812,1013079,1857732,1971466,1228271,465026,1483314,1251187,1151454,2175814,1694761,855079,549224,1885132,1086610,1614992,1660210,1753432,1966077,820923,989152,1007623,1307704,994227,867500,677688
Region 11 Arkansas White Red,408535,461011,413480,805899,689109,981525,232962,494075,550797,419583,783488,807013,714900,290492,635932,721181,485745,655204,682045,1109687,309092,386855,223861,561407,480823,544050,190475
Region 12 Texas Gulf,237954,418681,217114,475697,248960,888422,211057,286739,286647,192620,417674,375138,466728,128614,478550,473722,468906,505967,471304,1060631,201966,107688,89502,384796,268491,369670,298880
Region 13 Rio Grande,38476,46246,88689,198111,87121,248263,27961,55851,94617,35057,89877,26352,113555,11203,156223,106263,94742,133255,56263,216043,68796,45870,34005,200677,49314,154866,49741
Region 14 Upper Colorado,135786,112124,125518,290194,31722,212781,39701,191998,164638,143229,218688,94850,323295,32788,187789,98354,159911,246294,92297,246364,90356,76946,105049,318493,54147,111251,52896
Region 15 Lower Colorado,60187,162992,164186,196637,230344,123856,104300,111515,136256,123034,210888,207399,145701,116385,99019,86958,109201,127832,195427,135580,102761,45669,55610,108875,110289,41606,36544
Region 16 Great Basin,187801,96238,178717,481840,79922,108472,59010,214403,204556,256314,330242,137311,424599,107336,184228,138416,253345,371904,153573,288902,110536,122758,142379,279780,62147,134588,79006
Region 17 Pacific Northwest,543281,818734,629628,1046900,852933,723104,352530,702406,741799,844925,1393325,777253,631808,552952,971437,569232,950982,1094829,874406,876595,437330,384895,541801,1018000,370057,421690,274384
Region 18 California,529037,1129568,791987,1396113,699486,1753456,423604,625865,865435,762915,1222139,675977,1178039,332425,747754,716030,720544,1027293,788320,1619529,399767,521486,486468,782571,436592,716104,266355
Region 19 Alaska,222,122,19,162,,11,,206,21,21,574,,30,243,147,40,96,137,20,12,32,,0,995,0,0,
Region 20 Hawaii,2363,1131,2000,5160,4455,832,148,2490,638,1075,4773,3584,5034,2669,3873,,6677,11870,2656,46312,1173,838,725,9085,,626,855
