AREA,PRTY23,YIELD23,CNDTNS23,COSTS23,FINANCE23,LNDLRD23,WATER23,OP23,PRTY18,YIELD18,CNDTNS18,COSTS18,FINANCE18,LNDLRD18,WATER18,OP18,PRTY13,YIELD13,CNDTNS13,COSTS13,FINANCE13,LNDLRD13,WATER13,OP13,PRTY08,YIELD08,CNDTNS08,COSTS08,FINANCE08,LNDLRD08,WATER08,OP08
Kansas ,"142,644","459,843","171,052","484,942","348,123","382,489","605,811","67,197","236,000","342,471","161,019","540,676","449,825","509,294","365,865","73,315","132,824","401,583","255,846","556,158","215,147","385,318","699,355","132,824","281,771","227,624","131,770","375,507","186,413","273,511","307,584","87,918"
Kentucky ,"18,101","6,154","14,019","19,086","4,871","19,100",92,"1,246","9,404","5,746","8,751","9,128","4,929",234,136,"1,027","9,312",456,"3,630","5,349",958,"3,488","3,041","9,312","9,825","5,186","2,773","6,967","1,714","1,415",561,"1,366"
Louisiana ,"230,308","147,237","158,249","201,683","148,320","344,857","26,652","22,152","115,149","118,483","129,372","178,780","168,573","163,759","26,226","88,545","20,840","80,627","100,867","150,768","98,686","116,574","30,112","20,840","159,471","95,677","87,728","129,603","95,374","101,685","25,786","20,966"
Maine ,"2,753","1,298","1,504",474,"5,168",NULL,NULL,198,"2,008","1,774","1,568","1,120","8,619","5,614",NULL,169,95,210,369,"1,782",905,178,839,95,611,322,NULL,"2,251",472,0,427,0
Maryland ,"18,200","9,660","3,739","20,879","12,944","7,760","2,864","9,640","36,460","7,444","19,614","26,170","18,109","5,370",660,"2,324","4,443","12,885","12,493","23,278","11,850","7,167","8,917","4,443","13,715","4,873","4,403","9,902","5,389","4,068",138,"7,181"
Massachusetts ,"3,276","1,370",722,"2,236","3,271",831,330,"1,030","2,686",12,NULL,458,"3,557",NULL,790,82,865,"1,289","6,051","7,423","5,563",454,494,865,"4,253",480,292,"2,532","1,531",147,190,331
Michigan ,"68,600","114,642","80,293","213,738","75,509","92,236","19,316","137,523","89,522","87,584","58,430","205,233","99,279","87,325","36,861","32,136","32,982","76,505","66,344","97,768","42,347","53,810","42,594","32,982","74,986","30,599","26,081","61,477","37,433","12,249","10,395","14,644"
Minnesota ,"57,127","70,072","41,454","132,167","75,928","67,081","27,656","29,611","53,242","57,787","26,863","133,485","66,826","57,526","42,704","60,732","39,377","44,650","47,426","72,781","62,962","36,797","24,017","39,377","39,828","25,649","1,760","68,295","35,408","14,676","2,764","17,340"
Mississippi ,"165,220","116,983","60,742","157,007","213,638","290,159","58,666","121,847","304,378","145,758","153,532","342,886","280,701","367,047","74,446","130,289","149,920","185,066","224,925","290,872","286,913","331,689","146,613","149,920","227,448","52,239","49,902","178,425","121,970","105,020","30,707","59,179"
Missouri ,"379,217","95,816","40,795","363,150","205,526","106,169","7,539","49,547","148,102","151,576","133,301","169,110","231,397","192,309",891,"125,260","65,574","107,157","152,121","207,936","154,215","174,709","25,239","65,574","164,571","122,257","54,120","157,135","114,335","108,265","24,524","40,555"
Montana ,"215,779","85,416","206,185","264,165","384,300","153,645","209,477","61,185","258,479","175,482","289,889","408,968","372,969","168,689","297,114","117,385","87,209","146,265","276,505","431,619","329,356","189,560","304,706","87,209","311,890","93,049","109,202","290,477","234,443","90,328","169,008","96,719"
Nebraska ,"433,485","1,113,197","489,479","1,708,723","1,047,865","1,421,646","511,909","249,548","869,243","634,274","542,629","1,635,962","1,300,347","1,096,828","248,710","355,988","559,649","667,703","994,547","1,845,020","987,351","1,225,679","1,112,946","559,649","741,139","673,229","647,936","1,066,039","700,554","746,112","410,996","387,143"
Nevada ,"136,395","22,520","40,956","194,626","159,194","39,929","33,169","28,400","67,776","59,683","88,682","128,801","94,029","10,640","137,371","10,800","40,327","93,562","108,556","117,055","138,897","57,731","158,547","40,327","76,537","47,517","76,361","73,479","96,326","16,260","70,878","13,519"
New Hampshire ,165,319,149,714,152,8,NULL,26,306,252,617,159,131,NULL,NULL,59,95,"1,864","1,863",598,308,212,70,95,73,288,NULL,254,236,12,180,33
New Jersey ,"5,635","5,248","5,364","15,320","14,838","4,934","1,204","4,951","5,599","6,493","4,911","12,362","26,404","8,106","1,625","3,614","2,415","6,002","7,878","16,491","19,109","6,514","2,768","2,415","10,513","3,980","3,779","7,020","6,950",972,"2,485","12,652"
New Mexico ,"29,198","14,686","35,282","92,929","71,260","18,452","128,227","14,257","68,300","102,208","105,838","81,664","111,182","30,247","154,704","12,641","55,310","91,450","60,388","71,648","104,405","59,415","159,217","55,310","170,620","60,567","44,072","57,446","112,713","21,343","104,174","28,875"
New York ,"13,647","4,304","1,139","8,504","2,981",187,"7,048","3,767","5,199","5,934","7,143","8,947","8,536","4,281","1,284","3,939","1,114","1,890","5,444","6,074","3,619",936,"2,596","1,114","5,843","2,918",NULL,"1,517","2,034",0,374,970
North Carolina ,"19,744","11,141","5,449","22,129","28,171","7,209","4,616","4,984","14,001","43,593","43,884","2,290","5,252",917,175,"2,024","2,533","7,511","16,580","21,402","22,841","16,565","12,720","2,533","36,556","8,962","6,390","21,644","12,068","3,020","7,439","4,272"
North Dakota ,"20,507","18,738","15,297","55,586","43,767","44,211","11,308","3,581","31,843","58,868","22,368","62,901","55,399","81,783","39,840","2,884","14,385","15,953","26,989","41,778","23,776","30,700","16,429","14,385","43,933","7,836","11,359","41,082","34,768","17,667","9,038","12,823"
Ohio ,"6,342","6,937","4,962","12,171","2,563",NULL,"1,296","3,338","8,679",332,384,"4,352","5,629",528,121,970,"1,018","2,762","5,168","4,021","4,306","5,138","2,368","1,018","10,252","1,633","1,724","2,860","2,035","2,020","1,669","1,627"
Oklahoma ,"93,667","53,095","18,799","109,211","44,698","92,931","23,238","97,891","37,319","44,531","30,449","57,965","82,403","62,237",959,"32,147","11,596","43,821","37,434","73,974","50,980","52,935","49,330","11,596","74,561","24,095","7,684","43,227","68,290","16,981","36,964","8,824"
Oregon ,"115,008","118,516","120,632","302,580","299,299","132,043","282,954","60,537","157,924","144,824","174,415","363,037","297,045","131,685","207,550","63,016","79,041","113,782","208,042","362,511","297,210","180,923","247,718","79,041","186,459","82,220","120,228","333,023","302,999","125,098","136,992","45,517"
Pennsylvania ,"7,045",894,"2,726","4,555","4,954",72,NULL,994,"22,728","1,092",891,"2,132","2,013",NULL,248,"1,148","1,418","3,145","2,908",NULL,"4,608","1,991","1,011","1,418","6,619",961,692,"2,045","1,172",0,610,"1,458"
Rhode Island ,108,NULL,92,507,499,376,47,111,266,800,855,168,279,36,4,852,85,726,36,113,254,44,0,85,212,0,0,14,14,0,0,5
South Carolina ,"35,960","17,545","14,301","29,384","9,732","10,778","2,424","14,957","19,407","12,898","14,983","42,441","45,178","47,422",NULL,"45,843","8,096",NULL,"6,755","18,190","17,748","10,394","6,673","8,096","32,054","6,133","4,252","16,212","5,342",NULL,"2,270","6,480"
South Dakota ,"51,838","33,353","71,779","78,130","20,161","46,242","4,174","43,141","33,183","34,735","31,982","29,533","30,775","21,802",0,"13,247","17,450","23,685","23,662","39,925","28,166","16,267","21,567","17,450","55,908","13,419","32,392","54,014","65,585","6,619","13,270","15,095"
Tennessee ,"16,004","18,351","12,140","30,024","32,210","20,105",17,"10,665","17,902","11,440","2,596","23,968","12,745",NULL,NULL,"4,997","21,856","20,515","22,614","34,484","18,543","35,299","11,962","21,856","32,912","6,713","2,951","11,466","3,494","3,218",743,558
Texas ,"315,714","501,057","312,632","912,700","770,358","401,207","1,246,421","229,636","440,900","404,366","266,393","695,289","539,250","564,761","657,838","187,584","295,107","651,266","548,310","909,894","714,552","601,058","1,386,799","295,107","829,796","209,434","132,402","517,013","625,830","423,777","524,780","387,366"
Utah ,"77,724","105,014","142,691","176,655","354,284","27,335","106,673","33,772","190,606","158,779","160,925","221,167","249,852","107,244","306,745","82,313","68,000","68,094","150,710","230,836","272,415","105,029","151,101","68,000","192,159","68,245","75,970","151,142","197,579","43,287","89,954","66,917"
Vermont ,388,NULL,247,175,253,NULL,14,55,436,120,74,651,614,62,82,151,231,34,103,214,257,151,47,231,89,NULL,0,4,127,0,0,0
Virginia ,"6,502","6,084","4,344","8,070","4,472","1,435","1,839","2,930","9,731","1,188","2,565","9,069","9,620","3,490","3,606","2,714","3,039","1,127","9,151","9,070","5,039","6,274","2,147","3,039","9,618","4,360","5,703","7,833","8,620","2,362","1,614","2,837"
Washington ,"110,845","171,067","147,439","327,890","230,099","221,099","96,794","85,769","179,274","238,878","252,992","452,737","301,123","144,581","115,262","136,879","123,077","173,534","193,776","428,357","267,275","205,593","136,085","123,077","181,179","72,797","84,239","155,576","221,858","79,637","50,438","110,204"
West Virginia ,364,261,38,354,420,153,22,0,115,95,8,NULL,62,15,NULL,130,169,127,117,115,232,112,112,169,371,NULL,NULL,NULL,114,0,155,NULL
Wisconsin ,"56,800","40,066","29,630","103,900","94,475","64,808","1,016","8,146","53,318","70,188","53,093","114,889","94,055","87,721","8,001","27,289","13,540","77,165","48,084","107,531","65,545","54,828","39,024","13,540","49,359","24,105","8,766","35,600","34,305","11,401","1,956","10,002"
Wyoming ,"126,655","106,736","149,148","265,239","279,957","102,442","152,442","35,088","206,760","214,946","186,689","276,943","336,089","134,198","154,377","34,941","83,228","115,699","199,487","265,830","201,986","98,406","239,035","83,228","293,281","93,501","131,347","228,206","289,386","25,796","180,440","69,364"
Region 01 New England ,"7,109","3,255","2,590","4,380","9,983","1,489","1,480","1,598","5,822","2,932","3,326","4,172","13,074","6,114","1,964","1,327","2,049","4,881","9,169","10,735","8,447","1,167","2,096","2,049","5,439","1,315",856,"5,644","2,411",359,945,634
Region 02 Mid Atlantic ,"61,177","33,813","28,143","74,741","46,871","26,399","19,675","32,244","96,822","45,987","47,339","85,259","89,357","39,549","19,917","28,614","17,417","37,046","45,898","75,394","47,453","32,065","19,307","17,417","57,056","28,082","14,696","32,753","27,504","9,268","11,552","31,856"
Region 03 South Atlantic Gulf ,"293,922","245,161","153,602","471,027","236,657","195,886","132,722","110,811","253,274","176,077","126,558","253,373","220,174","186,737","133,013","90,115","180,208","172,024","238,383","396,616","336,230","235,490","172,460","180,208","313,300","104,079","82,955","303,817","236,209","57,830","53,094","69,031"
Region 04 Great Lakes ,"96,290","142,763","85,972","261,914","88,445","124,867","19,772","145,037","121,210","110,672","72,060","265,069","144,945","97,162","37,391","48,047","39,762","95,483","87,316","143,737","75,825","82,193","47,377","39,762","114,148","45,143","31,313","90,884","55,027","19,821","13,806","22,205"
Region 05 Ohio ,"49,631","58,051","26,563","68,578","21,392","61,763","6,736","31,510","46,696","84,550","47,580","123,140","66,605","50,452",429,"8,604","25,762","27,884","46,346","48,524","20,868","45,604","14,284","25,762","102,782","40,002","20,676","57,396","22,869","30,279","5,486","12,036"
Region 06 Tennessee ,"8,995","11,793","11,847","31,105","4,584",NULL,"6,040",NULL,"6,281","12,235","2,692",NULL,"9,206",NULL,"6,367",316,"1,844","2,968","7,597",NULL,"3,855","4,735","3,863","1,844","7,106",NULL,"2,863",NULL,"5,587",NULL,421,NULL
Region 07 Upper Mississippi ,"265,609","217,700","142,125","361,450","209,582","181,318","25,867","60,986","200,924","184,526","111,146","273,756","200,079","225,390","23,168","60,640","90,089","162,639","136,341","250,342","148,480","152,115","73,957","90,089","200,893","88,215","47,601","164,121","87,692","55,648","15,565","51,312"
Region 08 Lower Mississippi ,"1,160,318","765,355","586,600","1,437,878","1,245,899","1,645,143","222,109","389,953","1,022,772","738,278","990,622","1,391,507","1,195,170","1,736,086","223,764","473,979","543,655","662,526","986,581","1,286,698","1,132,902","1,674,274","625,825","543,655","990,604","564,449","362,514","1,031,443","1,001,060","1,019,553","237,277","332,242"
Region 09 Souris Red Rainy ,"17,577","9,927","4,443","29,181","18,968","22,540","9,280","9,362","13,417","46,746","23,458","91,774","48,703","62,790","34,340","33,731","9,540",NULL,"20,314","20,316","16,194","18,292","8,146","9,540","21,809","4,732","3,786","22,736","17,303","5,966","3,220","4,461"
Region 10 Missouri ,"922,133","1,632,812","1,013,079","2,533,696","1,857,732","1,971,466","1,228,271","465,026","1,483,314","1,251,187","1,151,454","2,706,306","2,175,814","1,694,761","855,079","549,224","820,923","1,086,610","1,614,992","2,920,338","1,660,210","1,753,432","1,966,077","820,923","1,599,090","989,152","1,007,623","1,824,039","1,307,704","994,227","867,500","677,688"
Region 11 Arkansas White Red ,"408,535","461,011","413,480","1,241,001","805,899","689,109","981,525","232,962","494,075","550,797","419,583","894,828","783,488","807,013","714,900","290,492","309,092","721,181","485,745","972,960","655,204","682,045","1,109,687","309,092","812,593","386,855","223,861","671,646","561,407","480,823","544,050","190,475"
Region 12 Texas Gulf ,"237,954","418,681","217,114","527,834","475,697","248,960","888,422","211,057","286,739","286,647","192,620","471,078","417,674","375,138","466,728","128,614","201,966","473,722","468,906","647,072","505,967","471,304","1,060,631","201,966","576,715","107,688","89,502","314,557","384,796","268,491","369,670","298,880"
Region 13 Rio Grande ,"38,476","46,246","88,689","124,944","198,111","87,121","248,263","27,961","55,851","94,617","35,057","100,782","89,877","26,352","113,555","11,203","68,796","106,263","94,742","124,032","133,255","56,263","216,043","68,796","159,375","45,870","34,005","147,390","200,677","49,314","154,866","49,741"
Region 14 Upper Colorado ,"135,786","112,124","125,518","180,294","290,194","31,722","212,781","39,701","191,998","164,638","143,229","155,426","218,688","94,850","323,295","32,788","90,356","98,354","159,911","204,480","246,294","92,297","246,364","90,356","331,742","76,946","105,049","189,062","318,493","54,147","111,251","52,896"
Region 15 Lower Colorado ,"60,187","162,992","164,186","187,494","196,637","230,344","123,856","104,300","111,515","136,256","123,034","135,156","210,888","207,399","145,701","116,385","102,761","86,958","109,201","146,757","127,832","195,427","135,580","102,761","145,436","45,669","55,610","79,884","108,875","110,289","41,606","36,544"
Region 16 Great Basin ,"187,801","96,238","178,717","383,419","481,840","79,922","108,472","59,010","214,403","204,556","256,314","347,703","330,242","137,311","424,599","107,336","110,536","138,416","253,345","318,602","371,904","153,573","288,902","110,536","216,181","122,758","142,379","219,915","279,780","62,147","134,588","79,006"
Region 17 Pacific Northwest ,"543,281","818,734","629,628","1,413,291","1,046,900","852,933","723,104","352,530","702,406","741,799","844,925","1,758,955","1,393,325","777,253","631,808","552,952","437,330","569,232","950,982","1,628,310","1,094,829","874,406","876,595","437,330","761,294","384,895","541,801","884,469","1,018,000","370,057","421,690","274,384"
Region 18 California ,"529,037","1,129,568","791,987","1,654,094","1,396,113","699,486","1,753,456","423,604","625,865","865,435","762,915","1,283,040","1,222,139","675,977","1,178,039","332,425","399,767","716,030","720,544","1,005,745","1,027,293","788,320","1,619,529","399,767","847,305","521,486","486,468","1,083,398","782,571","436,592","716,104","266,355"
Region 19 Alaska ,222,122,19,119,162,NULL,11,NULL,206,21,21,NULL,574,NULL,30,243,32,40,96,36,137,20,12,32,834,NULL,0,NULL,995,0,0,NULL
Region 20 Hawaii ,"2,363","1,131","2,000","2,879","5,160","4,455",832,148,"2,490",638,"1,075","5,450","4,773","3,584","5,034","2,669","1,173",NULL,"6,677",NULL,"11,870","2,656","46,312","1,173","12,026",838,725,846,"9,085",NULL,626,855
